texto,clase,tipo,origen,
"En un lugar de la Mancha, de cuyo nombre no quiero acordarme, no ha mucho tiempo que vivía un hidalgo de los de lanza en astillero, adarga antigua, rocín flaco y galgo corredor. Una olla de algo más vaca que carnero, salpicón las más noches, duelos y quebrantos los sábados, lentejas los viernes, algún palomino de añadidura los domingos, consumían las tres partes de su hacienda. El resto della concluían sayo de velarte, calzas de velludo para las fiestas con sus pantuflos de lo mismo, y los días de entre semana se honraba con su vellorí de lo más fino. Tenía en su casa una ama que pasaba de los cuarenta, y una sobrina que no llegaba a los veinte, y un mozo de campo y plaza, que así ensillaba el rocín como tomaba la podadera. Frisaba la edad de nuestro hidalgo con los cincuenta años; era de complexión recia, seco de carnes, enjuto de rostro, gran madrugador y amigo de la caza.",humano,libro,"Don Quijote de la Mancha, Miguel de Cervantes",
"En el principio creó Dios los cielos y la tierra. Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la faz del abismo, y el Espíritu de Dios se movía sobre la faz de las aguas. Y dijo Dios: Sea la luz; y fue la luz. Y vio Dios que la luz era buena; y separó Dios la luz de las tinieblas. Y llamó Dios a la luz Día, y a las tinieblas llamó Noche. Y fue la tarde y la mañana un día.",humano,libro,La Biblia – Génesis 1:1–5 (Reina-Valera 1960),
"Dos casas, ambas iguales en nobleza, en la hermosa Verona donde se desarrolla esta escena, de antigua enemistad rompen en nuevos conflictos, manchando las manos civiles con sangre civil. De los fatales lomos de estos dos enemigos nacieron dos amantes bajo mala estrella, cuya desventura y trágico final enterrarán la lucha de sus padres con su muerte. El paso temeroso de su amor marcado por el destino y la furia de sus padres, que nada podrá detener excepto la muerte de sus hijos, es lo que ocupará el escenario durante dos horas. Si prestáis atención paciente, nuestra obra procurará compensaros.",humano,libro,"Romeo y Julieta, William Shakespeare",
"Cuando el señor Bilbo Bolsón de Bolsón Cerrado anunció que pronto celebraría su cumpleaños número ciento once con una fiesta especial de magnífica importancia, hubo mucho alboroto en Hobbiton. Bilbo era muy rico y muy peculiar, y había sido el asombro de la Comarca durante sesenta años, desde que desapareció de forma misteriosa y luego regresó con una fortuna. La riqueza no era lo único extraño en él. No envejecía, y seguía tan ágil como un hobbit de la mitad de su edad.",humano,libro,"El Señor de los Anillos: La Comunidad del Anillo, J.R.R. Tolkien",
"En un agujero en el suelo, vivía un hobbit. No un agujero sucio, húmedo, con restos de gusanos y olor a moho, ni tampoco un agujero seco, desnudo y arenoso sin nada en qué sentarse o qué comer: era un agujero-hobbit, y eso significa comodidad. Tenía una puerta perfectamente redonda, pintada de verde, con un pomo dorado en el centro. La puerta se abría hacia un pasillo tubular como un túnel, muy cómodo, sin humo, con paredes revestidas de madera, suelos embaldosados y alfombrados, y muchas perchas para sombreros y abrigos.",humano,libro,"El Hobbit, J.R.R. Tolkien",
"Renée Descartes se sentó frente al fuego, reflexionando sobre la naturaleza de la duda. “Pienso, luego existo”, murmuró. En otro tiempo y lugar, el profesor Robert Langdon cruzaba el patio del museo del Louvre, sin sospechar que aquella noche cambiaría su vida para siempre. El cadáver del conservador Jacques Saunière y un mensaje cifrado serían el inicio de un misterio que arrastraría a Langdon al corazón de secretos milenarios.",humano,libro,"El código Da Vinci, Dan Brown",
"Calisto, en un huerto halló a Melibea, mujer de gran hermosura. Desde aquel momento, su corazón quedó herido de amor sin remedio. Con palabras elevadas trató de conquistarla, mas ella, prudente y recatada, no accedió a sus ruegos. Calisto, desesperado, buscó la ayuda de Celestina, vieja alcahueta experta en tretas amorosas, para alcanzar lo que por medios honestos no había logrado.",humano,libro,"La Celestina, Fernando de Rojas",
"Llamadme Ismael. Hace unos años —no importa cuántos exactamente—, teniendo poco o ningún dinero en el bolsillo, y nada particular que me interesase en tierra, pensé que me iría a navegar un poco y ver la parte acuática del mundo. Es una manera que tengo de echar fuera la melancolía y regular la circulación. Cada vez que me sorprendo poniendo una expresión triste en mi cara; cada vez que el noviembre húmedo y lluvioso se mete en mi alma, entonces considero que es hora de hacerme a la mar lo más pronto posible.",humano,libro,"Moby Dick, Herman Melville",
"El arte de la guerra es de vital importancia para el Estado. Es una cuestión de vida o muerte, un camino hacia la seguridad o hacia la ruina. Por lo tanto, es imperativo estudiarlo con detenimiento. La guerra se basa en el engaño. Cuando estés capacitado para atacar, debes parecer incapaz; cuando uses tus fuerzas, debes parecer inactivo. Si estás cerca del enemigo, hazle creer que estás lejos; si estás lejos, hazle creer que estás cerca.",humano,libro,"El arte de la guerra, Sun Tzu",
"3 de mayo. Bistritz. Dejé Múnich a las 8:35 de la noche, el 1 de mayo, llegando a Viena al amanecer del día siguiente; debí pasar por la aduana, pero como llevaba documentos oficiales no tuve ningún inconveniente. Desayuné en el restaurante del hotel y tomé el tren a las 8:30 de la mañana. Llegué a Klausenburg a las 8:30 de la noche, donde pasé la noche en el Hotel Royale.",humano,libro,"Drácula, Bram Stoker",
"Recientemente, un caballero de mi casa, que era muy conocido por mí, murió repentinamente mientras jugaba a la pelota. Uno de sus compañeros de juego me dijo que, justo antes de caer, había dicho que sentía un dolor en el corazón, como si algo le oprimiera. Al instante cayó muerto. Este ejemplo me recuerda cuán frágil es la vida humana y cómo la muerte puede sorprendernos en cualquier momento.",humano,ensayo,Los Ensayos – Michel de Montaigne,
"Se ha afirmado que estamos en la era posmoderna. Estallido de lo social, disolución de lo político: el individuo es el rey y maneja su existencia a la carta. La era del vacío ausculta esta mutación esencial, investigando los rasgos significativos de los tiempos actuales, tan alejados de la rebelión y el disentimiento característicos de los años sesenta.",humano,ensayo,La era del vacío – Gilles Lipovetsky,
"La única libertad que merece ese nombre es la de buscar nuestro propio bien a nuestra manera, mientras no privemos a los demás del suyo o les impidamos esforzarse por conseguirlo. Cada quien es el guardián natural de su propia salud, ya sea corporal, mental o espiritual.",humano,ensayo,Sobre la libertad – John Stuart Mill,
"No hay sino un problema filosófico realmente serio: el suicidio. Juzgar si la vida merece o no ser vivida es responder a la pregunta fundamental de la filosofía. Todo lo demás —si el mundo tiene tres dimensiones, si el espíritu tiene nueve o doce categorías— viene después.",humano,ensayo,El mito de Sísifo – Albert Camus,
"El presente no es más que un primer ensayo de ataque a ese hombre triunfante, y el anuncio de que unos cuantos europeos van a revolverse enérgicamente contra él. No se trata de una revolución política, sino de una revolución contra la civilización misma, tal como la entendemos.",humano,ensayo,La rebelión de las masas – José Ortega y Gasset,
"El hombre ha nacido libre, y sin embargo, por todas partes se encuentra encadenado. ¿Cómo se ha producido este cambio? Lo ignoro. ¿Qué puede hacerlo legítimo? Creo poder resolver esta cuestión.",humano,ensayo,El contrato social – Jean-Jacques Rousseau,
"Durante mucho tiempo dudé en escribir un libro sobre la mujer. El tema es irritante, sobre todo para las mujeres; pero no es nuevo. La discusión sobre el feminismo es antigua, y no pretendo añadir nada nuevo, sino más bien examinar el problema desde un ángulo diferente",humano,ensayo,El segundo sexo – Simone de Beauvoir,
"En la arquitectura japonesa, la sombra juega un papel esencial. Las casas tradicionales están diseñadas para aprovechar la penumbra, creando una atmósfera de serenidad y misterio. La luz tenue resalta la belleza de los objetos y espacios, en contraste con la iluminación brillante que todo lo revela.",humano,ensayo,El elogio de la sombra – Junichirō Tanizaki,
"La vida resulta gravosa: nos trae dolores, desengaños, tareas insolubles. Para soportarlas, hay diversos calmantes: distracciones que valúan nuestra miseria, satisfacciones sustitutivas (arte, ilusiones respecto de la realidad) que la reducen y sustancias embriagadoras que nos vuelven insensibles a ellas.",humano,ensayo,El malestar en la cultura – Sigmund Freud,
"La religión es una de las más antiguas y poderosas instituciones humanas. En este ensayo, me propongo examinar su origen y función, y considerar si sus enseñanzas son una ilusión que la humanidad debe superar para alcanzar la madurez.",humano,ensayo,El porvenir de una ilusión – Sigmund Freud,
"Los escándalos de abusos a menores han sumido al Vaticano en un proceso de purga sin precedentes. Especialmente por la relevancia de los afectados y los niveles a los que están llegando las acusaciones. Ha caído ya la cúpula entera de la jerarquía eclesial chilena. Luego le tocó al cardenal Theodore McCarrick, a quien el Pontífice retiró la birreta cardenalicia por primera vez en 90 años. Y ahora Francisco ha aceptado la renuncia del arzobispo de Washington, el cardenal Donald Wuerl, de 77 años, salpicado por el tremendo escándalo del informe de la Fiscalía de Pensilvania (EE UU).",humano,articulo,https://elpais.com/sociedad/2018/10/12/actualidad/1539343056_491153.html,"El Papa acepta la renuncia del arzobispo de Washington, acusado de encubrir abusos sexuales - Daniel Verdú - El País - 12 de octubre de 2018"
"El FC Barcelona ha conseguido poner freno a su masa salarial. Tras un 2017-2018 en el que estos costes se dispararon un 48%, la junta directiva ha conseguido que esta temporada pueda rebajarse en seis millones, hasta 633 millones de euros. “Nuestro volumen de masa salarial está estabilizado en estas cifras; la tendencia debe ser de disminuir esa ratio porque habíamos llegado a límites altos”, ha señalado el director general, Óscar Grau, en la presentación del presupuesto de 2018-2019.",humano,articulo,https://www.mundodeportivo.com/palco23/clubes/el-barca-estabiliza-su-masa-salarial-en-633-millones-tras-dispararse-un-48-en-dos-anos,"El Barça estabiliza en 633 millones su masa salarial, tras dispararse un 48% en dos años - Marc Menchén - Mundo Deportivo - 2 de octubre de 2018"
"Cinco magistrados de la Sala Segunda del Tribunal Supremo, entre los que no está su presidente, Manuel Marchena, revisarán este jueves la inhabilitación impuesta por el Tribunal Superior de Justicia de Cataluña (TSJC) al presidente de la Generalitat, Quim Torra. Para ello, esta mañana escucharán los informes con los que la defensa del 'president' por un lado y la fiscalía y la acusación que ejerce Vox por otro resaltarán sus principales argumentos en contra y a favor de la sentencia dictada ante la negativa del político catalán a retirar los lazos amarillos, pese al requerimiento en ese sentido de la Junta Electoral Central.",humano,articulo,https://www.elperiodicodearagon.com/espana/2020/09/17/presidencia-torra-manos-cinco-jueces-46503296.html,"La presidencia de Torra, en manos de cinco jueces del Supremo - Ángela Vázquez - El Periódico - 17 de septiembre de 2020"
"Desde hace mucho, el grupo indígena más numeroso de Chile ha exigido el reconocimiento oficial de su cultura y de sus reivindicaciones sobre las tierras ancestrales. Un referéndum sobre una nueva Constitución les da la oportunidad de ser incluidos.",humano,articulo,https://www.nytimes.com/es/2020/09/16/espanol/america-latina/plebiscito-chile-constitucion.html,‘El Estado simplemente no nos entiende’: El pueblo mapuche aspira a una nueva Constitución - John Bartlett - The New York Times - 16 de septiembre de 2020
"CIUDAD DE MÉXICO. En año electoral, el Consejo Nacional de Evaluación de la Política de Desarrollo Social tendrá 23.1% menos recursos, en términos reales, frente a lo aprobado en 2020 para evaluar programas sociales. En el Proyecto de Presupuesto de Egresos 2021 el Coneval tiene 361 mdp, el monto más bajo en ocho años, pues en 2013 le aprobaron 341 mdp a precio actual. Será el quinto año al hilo que caen los recursos para la operación del organismo. Respecto a 2016, su presupuesto se ha reducido en más de la mitad: el desplome acumulado alcanza 53.9% en términos reales. Por rubro presupuestario en 2021, el más castigado es la Evaluación de Programas Sociales, con una reducción de 29.1% real, para ubicarse en 255.3 millones de pesos. Este rubro es el que más peso tiene al interior del presupuesto del Coneval, con 70.7% del total para 2021.",humano,articulo,https://www.excelsior.com.mx/nacional/gastaran-menos-para-evaluar-apoyos-sociales-proyecto-de-presupuesto-2021/1406191,Gastarán menos para evaluar apoyos sociales; proyecto de presupuesto 2021 - Paulo Cantillo - Excélsior - 17 de septiembre de 2020
"EL NUEVO DIARIO, SANTO DOMINGO. La Corte de Apelación de San Francisco de Macorís dictó sentencia favorable a la señora Marlín Martínez, que ordenó su inmediata puesta en libertad, al favorecerla con un hábeas corpus, pese a la oposición del Ministerio Público y abogados de la familia de Emely Peguero.",humano,articulo,https://elnuevodiario.com.do/ordenan-libertad-inmediata-de-marlin-martinez/,Ordenan libertad inmediata de Marlin Martínez - Liliam Mateo - El Nuevo Diario - 16 de septiembre de 2020
"Reconoce que no esperaba acabar en la Universidad de Cambridge (Reino Unido), pero sus esfuerzos y trabajo duro fueron reconocidos y allí se dedica a desentrañar el entramado del llamado «machine learning» (aprendizaje automático), para que la inteligencia artificial responda de verdad a su nombre y sea cada vez más lista. La cordobesa María Pérez Ortiz, doctora en Informática de 27 años, tiene un brillante curriculum que incluye 60 publicaciones en revistas científicas y varios proyectos de investigación en colaboración con universidades de varios países, hospitales e incluso la Agencia Espacial Europea (ESA). Su excelente trabajo ha sido premiado por la Sociedad Científica Informática de España y la Fundación BBVA junto al de otros cinco doctores menores de 30 años.",humano,articulo,https://www.abc.es/ciencia/abci-inteligencia-artificial-puede-salvar-vidas-201710232057_noticia.html?ref=https%3A%2F%2Fsearch.brave.com%2F,La inteligencia artificial puede salvar vidas - Judith de Jorge - ABC - 23 de octubre de 2017
"Existe una brecha grande entre las aspiraciones globales para combatir el cambio climático y los datos reales. Es la conclusión a la que ha llegado la última edición del informe Unidos por la ciencia, elaborado por diferentes agencias del clima y coordinado por la Organización Meteorológica Mundial (OMM).",humano,articulo,https://www.lavanguardia.com/vida/junior-report/20221010/8529440/lucha-cambio-climatico-continua.html,La lucha contra el cambio climático continúa - Laura Cuesta - La Vanguardia - 10 de octubre de 2022
"Google y su entorno (gmail, drive, classroom, hangouts...) reinan en las escuelas catalanas. Prácticamente todos los profesores y alumnos utilizan estos aplicativos a diario para funcionar; ya sea para colgar tareas o apuntes o para entregar trabajos o hacer presentaciones. Para la plataforma ciudadana Xnet de protección de los derechos digitales el problema es que todo el contenido que se produce está en manos de Google. Advierten de que las escuelas no tienen control sobre él y los datos de los menores están a merced del gigante tecnológico. Un extremo que Google desmiente.",humano,articulo,https://www.elperiodico.com/es/sociedad/20220712/educacion-digital-alternativa-google-escuelas-datos-menores-14053033,"Tecnología en las escuelas: Ni McDonald's en el comedor, ni Google en el aula - Montse Baraza - El Periódico - 12 de julio de 2022"
"La sostenibilidad se posiciona como un eje estratégico para transformar la economía y garantizar el desarrollo a largo plazo. El foro Ideas Con Valor dedicó todo un bloque a temas como la economía circular, la innovación financiera y las nuevas tecnologías energéticas. Celebrado en el Auditorio Nouvel del Museo Reina Sofía de Madrid, el encuentro fue organizado por El Confidencial y contó con el patrocinio de CaixaBank, Sabadell, Moeve, Bidafarma, Junta de Castilla y León, Aqualia, Banco Santander, Comunidad de Madrid, Mutua Madrileña, Mediolanum, LaLiga, Minsait, B100 y GroupM.",humano,articulo,https://www.elconfidencial.com/medioambiente/empresa/2024-11-28/ideas-con-valor-sostenibilidad-bra_4012275/,De la economía circular al hidrógeno verde: seis ideas para construir un futuro sostenible y competitivo - Tomás Muñoz M. - El Confidencial - 28 de noviembre de 2024
"Si alguna vez has viajado a Inglaterra y tienes la misma manía que yo de entrar a fisgonear supermercados, igual has encontrado este producto en el lineal de los bollos y panes. Los crumpets son una cosa intermedia entre unas tortitas y unos muffins ingleses. Llevan leche, como las primeras; y levadura, como los segundos.",humano,blog,https://elpais.com/gastronomia/el-comidista/2025-05-19/crumpets-los-bollitos-ingleses-con-agujeros-que-no-necesitan-horno.html,
"Me hizo pensar en mis propias experiencias de viaje que me cambiaron la vida. Como mi transformación en una viajera sostenible después de comprender plenamente lo que eso significaba para el planeta y la vida en él. Tengo que agradecer a un viaje al Caribe por esto. O el primer viaje que hice sola, cuando empecé a poner a prueba mis límites, el que me empoderó y me abrió los ojos a un nuevo mundo de posibilidades. Estoy muy feliz de haber elegido Italia, un destino increíble para explorar en solitario. O cómo reafirmé mi fe en la bondad humana después de pasar un mes en Irán, conociendo a las personas más amables con las que me he encontrado. Y la experiencia de viaje que más literalmente cambió mi vida, venirme a vivir a Croacia después de conocer al amor de mi vida en este hermoso país que ahora llamo hogar.",humano,blog,https://experiencingtheglobe.com/es/experiencias-de-viaje-que-cambian-la-vida/,
"Entrevistamos a José Antonio Aguado Sánchez, Catedrático de Universidad en Ingeniería Eléctrica, director del departamento de Ingeniería Eléctrica, experto en Sistemas Eléctricos de Potencia. Ha dirigido proyectos de investigación y transferencia tecnológica en operación y planificación de smartgrids, integración de energías renovables y sistemas de almacenamiento, eficiencia energética y transferencia inductiva de potencia. Desde 2019 es Director de la Cátedra de Transformación Energética en la Universidad de Málaga. Debo confesar que se había preparado un guion sobre otro tema, pero el Gran Apagón en la Península Ibérica del 28 de abril de 2025 nos obligó a contactar de urgencia con José Antonio, quien nos atendió el 29 de abril para hablar de dicha noticia, la más relevante del día. Más información en Sebastián Sánchez, «José Antonio Aguado, ingeniero industrial: «Málaga está viviendo un fracaso colectivo en materia de vivienda»,» El Español de Málaga, 07 may 2025.",humano,blog,https://francis.naukas.com/2025/05/01/ciencia-para-todos-t07e13-experto-de-la-uma-analiza-que-pudo-pasar-para-darse-el-apagon/,
"En física la cosa va desde la Teoría del Todo que abarca muchos campos –además de ser un libro de Hawking, y posterior película bastante decente– a explicar la gravedad cuántica,qué son la materia oscura y la energía oscura y confirmar algunas ideas como las paradojas de la información de los agujeros negros, la «censura cósmica», el principio holográfico. También hay algunos problemas de física cuántica, cosmología e incluso relatividad general, incluyendo el Principio Cosmológico, la masa de los neutrinos o a qué se deben los ciclos solares.",humano,blog,https://www.microsiervos.com/archivo/ciencia/atrevete-si-puedes-problemas-no-resueltos-fisica-matematicas.html,
"Este sábado ha fallecido el empresario Isak Andic a los 71 años. Ha tenido un accidente en la montaña, cerca de Barcelona, y ha caído al vacío desde una altura de unos 150 metro de altura. Este ejercía de presidente no ejecutivo y fundador de Mango, una compañía que empezó con un primer punto de venta en Paseo de Gracia, la Barcelona natal de la empresa. ",humano,blog,https://www.huffingtonpost.es/life/moda/esta-historia-mango-marca-catalana-sabido-llevar-moda-espanola-mundo.html,
"Mikel López Iturriaga no suele prodigarse en galas de premios o congresos gastronómicos, pero no cabe duda de que lleva muchos años siendo el gran influencer de la cocina española. De hecho, ¡El Comidista es más viejo que Instagram! El periodista vasco convirtió su blog personal en una sección de El País que rezumaba modernidad y, poco a poco, juntando recetas de aquí y de allá con algunas historias poco exploradas, reseñas de restaurantes (asequibles) y también un célebre y divertido consultorio, acabó dando con la fórmula del éxito. La prueba es que muchos otros medios (incluyendo Gastro SER) han seguido su estela.",humano,blog,https://cadenaser.com/nacional/2025/01/09/stop-a-lo-de-siempre-estoy-un-poco-harto-mikel-iturriaga-y-reivindicacion-de-la-increible-herencia-de-la-cocina-regional-cadena-ser/,
"La historia de Jesús Sánchez al frente del Cenador de Amós se ha cocinado a fuego lento. El restaurante abrió sus puertas en 1993 en Villaverde de Pontones, Cantabria, y en 2020 consiguió su tercera estrella Michelin. No siempre ha sido fácil pero atribuye gran parte de su éxito a la reinvención constante: ""Durante la crisis, cuando la gente no venía tanto al restaurante, nos inventamos el aula de cocina y los los fines de semana llenábamos sábados y domingos con cursos de cocina para 30 personas. También empezamos el tema de los eventos. La gente se seguía casando y eso también nos ayudó a a salir del bache"", rememora ahora.",humano,blog,https://cadenaser.com/nacional/2025/05/09/todavia-se-encuentra-en-gasolineras-el-tres-estrellas-jesus-sanchez-y-su-empeno-por-dar-valor-a-un-producto-muy-espanol-que-se-abandono-cadena-ser/,
"Desde Febrero de 2015 hasta Octubre 2020 el reto estaba orientado a reproducir recetas de chefs famosos o conocidos. Ese fue el reto que creamos Ana y yo, y que nos reportó un cierto éxito. Nos intercalábamos los meses (ella chefs españoles y yo internacionales) y fuimos pasando cinco años con ese espíritu. He de decir, que a pesar de que intentaba traeros chefs que nos dieran un plus de aprendizaje, de meternos en otros zonas de no confort, no me sentía 100% llena. Hasta que en Octubre de 2020, tras la pandemia, y al ocuparme más personalmente ya del blog, decidí que tuviera el aporte pedagógico que yo necesitaba. Sentía que hablábamos mucho de gastronomía pero muchas no sabíamos ni lo que era una salsa española. Sentía que nos faltaba la base, el no tener una base reglada sobre la que basar nuestros blogs, que si estaban en el aire, era porque nos creíamos con el sentimiento de que “dominábamos lo que teníamos entre manos”. A mi, personalmente nunca me ha servido ese argumento, yo el blog lo tengo para mi familia y para uqe no se pierdan mis recetas familiares… Si, y no. Para eso podemíamos haber abierto un blog privado, publicar un librito familiar, etc.. El blog tiene un componente de enseñar, demostrar, compartir, de proyección vaya. Así que debíamos demostrar lo que sabemos. Porque gustos y cocinas personales hay muchas… pero las bases, son las bases.",humano,blog,https://cookingthechef.blogspot.com/2023/11/octubre-2023-trabajo-de-fin-de-curso.html,
"Me compré Gost in the Machine de The Police, y Survival de Marley & the Wailers en casette que fuimos escuchando durante todo el recorrido en el micro que era de doble piso.  Double Fantasy y el primero de Phil Collins me los compré en LP porque recién habían salido y ocupaban toda la enorme vidriera de HMV sobre Oxford Street por donde hoy anda el Primark (más o menos). Londres fue un flash.  Tuve el primer Walkman que salió, el Museo Británico fue como un viaje al más allá y mi viejo contento porque había podido comprarse una réplica de la Piedra de Roseta, la Piedra de Roseta… con la cual venía machacando -diría Manolito de Mafalda- con sus 3 tipos de escritura… la máscara de Tutankamón, la momia de Cleopatra, los frisos del Partenón… todo era un libro de historia y aún hoy me resultan imponentes esas estatuas babilónicas sentadas con sus cabellos ondulados a cada lado de una enorme puerta donde me sigo preguntando cómo metieron todo ahí adentro…",humano,blog,https://quizviajero.com/blog/primer-viaje-europa/,
"Según la definición elaborada por la Organización Mundial de la Salud (OMS), “la salud es un estado completo de bienestar físico, mental y social, y no solamente la ausencia de afecciones o enfermedades«. Así, queda claro que más allá de patologías, la salud abarca diversos factores que intervienen en la calidad de vida de cada uno. Una persona sana, por tanto, sería aquella que disfruta de una vida plena y feliz a todos los niveles.",humano,blog,https://www.salud.mapfre.es/cuerpo-y-mente/habitos-saludables/la-importancia-de-cuidar-la-salud/,
"El informe anual del Banco de España concluye que la guerra comercial impulsada por EE.UU. tendrá un impacto limitado sobre la economía española debido a su baja exposición al mercado estadounidense. Sin embargo, alerta sobre la elevada incertidumbre económica global y sus posibles efectos indirectos en inversión, consumo y exportaciones.",humano,noticia,https://elpais.com/economia/2025-05-20/el-banco-de-espana-cree-que-la-guerra-arancelaria-tendra-un-impacto-limitado-en-la-economia-espanola-pero-advierte-del-aumento-de-la-incertidumbre.html,
"Castilla-La Mancha ha logrado un récord histórico en exportaciones durante marzo de 2025, alcanzando los 960 millones de euros, un aumento del 12,6% respecto al mismo mes del año anterior. Cuenca destaca con un crecimiento aún mayor, del 14,6% en marzo y del 18,8% en el trimestre.",humano,noticia,https://cadenaser.com/castillalamancha/2025/05/20/el-dinamismo-exportador-de-cuenca-es-fruto-de-la-colaboracion-entre-empresas-e-instituciones-ser-cuenca/,
"El presidente de Colombia, Gustavo Petro, ha exigido explicaciones al Gobierno de España por un incidente ocurrido el 17 de mayo en un restaurante de Valencia, donde una familia migrante colombiana fue presuntamente agredida de forma excesiva por agentes de la Policía Nacional.",humano,noticia,https://www.huffingtonpost.es/politica/el-presidente-petro-pide-explicaciones-espana-arresto-policial-violento-familia-colombianabr.html,
"La Vuelta a España celebró su 90 aniversario con un evento especial en la Casa de Campo de Madrid, organizado por Unipublic y su director Javier Guillén. Aunque la fecha original del aniversario fue el 29 de abril, los festejos se retrasaron debido a un apagón nacional.",humano,noticia,https://as.com/ciclismo/vuelta_espana/la-vuelta-es-un-sentimiento-un-orgullo-y-una-responsabilidad-n/,
"Según un informe de Singular Bank, el precio de la vivienda en España podría aumentar un 9% de forma acumulada entre 2025 y 2026, impulsado por una combinación de factores económicos y demográficos.",humano,noticia,https://www.huffingtonpost.es/economia/precio-vivienda-subir-9-por-ciento-2026.html,
"Agentes del Servicio de Protección a la Naturaleza (Seprona) de la Guardia Civil han intervenido más de 14.000 productos de suplementos deportivos en un establecimiento de Algeciras durante abril, tras detectar serias deficiencias en su etiquetado.",humano,noticia,https://cadenaser.com/andalucia/2025/05/20/intervenidos-mas-de-14000-productos-de-suplementos-deportivos-en-algeciras-radio-algeciras/,
"La vicepresidenta tercera y ministra para la Transición Ecológica, Sara Aagesen, informó al Congreso sobre el origen del gran apagón que afectó a la Península Ibérica el pasado 28 de abril.",humano,noticia,https://elpais.com/espana/2025-05-14/aagesen-ubica-el-inicio-del-apagon-en-las-provincias-de-sevilla-granada-y-badajoz.html,
"El Gobierno de Estados Unidos ha emitido un comunicado urgente en el que eleva a nivel 2 su alerta de viajes a España, advirtiendo a sus ciudadanos sobre el riesgo de atentados terroristas y disturbios civiles.",humano,noticia,https://www.huffingtonpost.es/sociedad/estados-unidos-emite-comunicado-urgente-ciudadanos-visiten-espana-riesgo-disturbios-inminentes.html,
"La ciudad de Xàtiva ha rendido homenaje a su club de voleibol, AHORA Volei Xàtiva, tras el histórico triunfo del equipo cadete femenino, que se proclamó campeón de España 2025 en Zaragoza.",humano,noticia,https://cadenaser.com/comunitat-valenciana/2025/05/18/xativa-rinde-homenaje-a-su-voleibol-radio-xativa/,
"El secretario general de la OTAN, Mark Rutte, expresó su confianza en que España alcanzará el 5 % del PIB en gasto de defensa, pese a que en 2024 solo destinó el 1,24 %, la proporción más baja entre los países miembros de la Alianza.",humano,noticia,https://www.huffingtonpost.es/politica/rutte-dice-sin-duda-espana-alcanzara-5-gasto-pib-defensa.html,
"El capitán Moreira ajustó su brújula con manos temblorosas mientras la tormenta rasgaba los cielos del Índico. La vieja embarcación crujía bajo sus pies, como si los maderos protestaran por cada ola que los azotaba. Nadie había navegado hacia las Islas del Trueno desde el motín de 1883, pero él no buscaba oro ni gloria: buscaba respuestas. Y si las leyendas eran ciertas, lo que le esperaba bajo las aguas no era precisamente humano.",ia,libro,ChatGPT 4o - Las islas del trueno (Aventura),
"Nyria alzó el grimorio sobre la piedra rúnica, mientras el viento enloquecía a su alrededor y las brasas del bosque encantado se elevaban en espirales anaranjadas. El fuego no quemaba, sino que susurraba nombres olvidados, secretos que dormían bajo la montaña de ceniza. Había creído que su linaje de sangre estaba extinguido, pero el códice la había elegido. Y una vez leído en voz alta, no habría marcha atrás: el Fuego Eterno regresaría.",ia,libro,ChatGPT 4o - El códice del fuego eterno (Fantasía),
"La nota estaba escrita con una letra temblorosa: ""No subas al desván. Nunca después de medianoche"". El inspector Velarde miró el papel arrugado sobre la mesa de la cocina. A su alrededor, la casa abandonada parecía haber detenido el tiempo. Lo extraño no era la sangre seca en el pomo de la puerta, ni la radio que encendía sola a las 3:17 cada noche. Lo extraño era la figura del espejo, que siempre aparecía en la tercera planta… aunque ningún espejo había allí.",ia,libro,ChatGPT 4o - Sombra en la tercera planta (Misterio),
